,relationships,prompt_type,probability,group_id,model,dataset
0,related,explicit,0.4010201096534729,1,ViT-B-32,natural
1,related,explicit,0.9988294243812561,2,ViT-B-32,natural
2,related,explicit,0.9917665123939514,3,ViT-B-32,natural
3,related,explicit,0.9999194145202637,4,ViT-B-32,natural
4,related,explicit,0.8074357509613037,5,ViT-B-32,natural
5,related,explicit,0.006347601301968098,6,ViT-B-32,natural
6,related,explicit,0.2007785588502884,7,ViT-B-32,natural
7,related,explicit,0.5299134254455566,8,ViT-B-32,natural
8,related,explicit,0.6378833055496216,9,ViT-B-32,natural
9,related,explicit,0.9984602928161621,10,ViT-B-32,natural
10,related,explicit,0.5470702052116394,11,ViT-B-32,natural
11,related,explicit,0.8995089530944824,12,ViT-B-32,natural
12,related,explicit,0.020852571353316307,13,ViT-B-32,natural
13,related,explicit,0.9970294237136841,14,ViT-B-32,natural
14,related,explicit,0.9855406880378723,15,ViT-B-32,natural
15,related,explicit,0.03219221532344818,16,ViT-B-32,natural
16,related,explicit,0.47153598070144653,17,ViT-B-32,natural
17,related,explicit,0.7731642127037048,18,ViT-B-32,natural
18,related,implicit,0.7804226875305176,19,ViT-B-32,natural
19,related,implicit,0.9990667700767517,20,ViT-B-32,natural
20,related,implicit,0.9924710988998413,21,ViT-B-32,natural
21,related,implicit,0.999992847442627,22,ViT-B-32,natural
22,related,implicit,0.8466567397117615,23,ViT-B-32,natural
23,related,implicit,0.004207481164485216,24,ViT-B-32,natural
24,related,implicit,0.7511371970176697,25,ViT-B-32,natural
25,related,implicit,0.9811687469482422,26,ViT-B-32,natural
26,related,implicit,0.4831790328025818,27,ViT-B-32,natural
27,related,implicit,0.999956488609314,28,ViT-B-32,natural
28,related,implicit,0.47916707396507263,29,ViT-B-32,natural
29,related,implicit,0.9969056248664856,30,ViT-B-32,natural
30,related,implicit,0.00040317687671631575,31,ViT-B-32,natural
31,related,implicit,0.9934884309768677,32,ViT-B-32,natural
32,related,implicit,0.9959243535995483,33,ViT-B-32,natural
33,related,implicit,0.08707348257303238,34,ViT-B-32,natural
34,related,implicit,0.5627970099449158,35,ViT-B-32,natural
35,related,implicit,0.09911173582077026,36,ViT-B-32,natural
36,non_afforded,explicit,0.5989798903465271,1,ViT-B-32,natural
37,non_afforded,explicit,0.001170611591078341,2,ViT-B-32,natural
38,non_afforded,explicit,0.00823355931788683,3,ViT-B-32,natural
39,non_afforded,explicit,8.057627564994618e-05,4,ViT-B-32,natural
40,non_afforded,explicit,0.19256426393985748,5,ViT-B-32,natural
41,non_afforded,explicit,0.99365234375,6,ViT-B-32,natural
42,non_afforded,explicit,0.799221396446228,7,ViT-B-32,natural
43,non_afforded,explicit,0.47008657455444336,8,ViT-B-32,natural
44,non_afforded,explicit,0.3621167242527008,9,ViT-B-32,natural
45,non_afforded,explicit,0.0015396709786728024,10,ViT-B-32,natural
46,non_afforded,explicit,0.45292985439300537,11,ViT-B-32,natural
47,non_afforded,explicit,0.10049106925725937,12,ViT-B-32,natural
48,non_afforded,explicit,0.9791474938392639,13,ViT-B-32,natural
49,non_afforded,explicit,0.00297049549408257,14,ViT-B-32,natural
50,non_afforded,explicit,0.014459345489740372,15,ViT-B-32,natural
51,non_afforded,explicit,0.9678078293800354,16,ViT-B-32,natural
52,non_afforded,explicit,0.5284640192985535,17,ViT-B-32,natural
53,non_afforded,explicit,0.22683581709861755,18,ViT-B-32,natural
54,non_afforded,implicit,0.21957731246948242,19,ViT-B-32,natural
55,non_afforded,implicit,0.0009332564659416676,20,ViT-B-32,natural
56,non_afforded,implicit,0.007528872694820166,21,ViT-B-32,natural
57,non_afforded,implicit,7.154054856073344e-06,22,ViT-B-32,natural
58,non_afforded,implicit,0.1533432900905609,23,ViT-B-32,natural
59,non_afforded,implicit,0.9957925081253052,24,ViT-B-32,natural
60,non_afforded,implicit,0.24886275827884674,25,ViT-B-32,natural
61,non_afforded,implicit,0.018831299617886543,26,ViT-B-32,natural
62,non_afforded,implicit,0.516821026802063,27,ViT-B-32,natural
63,non_afforded,implicit,4.35618385381531e-05,28,ViT-B-32,natural
64,non_afforded,implicit,0.5208328366279602,29,ViT-B-32,natural
65,non_afforded,implicit,0.003094333689659834,30,ViT-B-32,natural
66,non_afforded,implicit,0.999596893787384,31,ViT-B-32,natural
67,non_afforded,implicit,0.006511623039841652,32,ViT-B-32,natural
68,non_afforded,implicit,0.004075631033629179,33,ViT-B-32,natural
69,non_afforded,implicit,0.9129265546798706,34,ViT-B-32,natural
70,non_afforded,implicit,0.43720293045043945,35,ViT-B-32,natural
71,non_afforded,implicit,0.900888204574585,36,ViT-B-32,natural
